1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	32994.822096	0.000000	0.000058	13223.217624	217.4
1	26459.411988	0.000000	0.000058	2988.785388	4.9
2	25762.052157	0.000000	0.000058	1612.985698	6.9
3	26043.123273	0.000000	0.000058	927.953070	4.8
4	26244.364187	0.000000	0.000058	1436.468409	4.6
5	26619.997991	0.000000	0.000058	1255.628299	4.3
6	25713.923334	0.000000	0.000058	2496.661997	4.4
7	25641.772743	1.000000	0.000055	1770.369948	4.2
8	26702.858190	2.000000	0.000053	1139.439904	4.8
9	25123.698143	3.000000	0.000051	991.381345	5.7
10	24896.927605	2.988184	0.000051	716.023386	4.9
11	27123.550923	2.976324	0.000051	1262.852365	4.7
12	25924.237353	2.964464	0.000051	1214.117186	4.7
13	25116.572103	3.959640	0.000049	963.487144	2.4
14	25666.620613	4.321820	0.000048	800.438114	4.2
15	26378.312343	4.309960	0.000048	764.620300	4.2
16	26011.355570	4.298100	0.000048	952.312003	5.0
17	23965.151749	4.286240	0.000048	791.571573	5.1
18	25706.982586	4.274381	0.000048	1147.755319	4.4
19	26011.405898	4.262521	0.000048	1226.298117	3.8
20	25514.335168	4.460402	0.000048	1230.988699	3.6
21	26023.438051	4.448542	0.000048	1619.543552	5.8
22	25360.339076	5.448542	0.000046	823.800310	4.9
23	24925.956946	5.499306	0.000046	1243.157758	4.1
24	24617.262519	5.487446	0.000046	1185.628787	5.2
25	25204.988287	6.485697	0.000044	1023.806127	4.8
26	25454.897353	7.271287	0.000043	1115.703169	2.9
27	25075.248440	7.259430	0.000043	996.082912	5.6
28	26013.227505	7.247570	0.000043	1234.381603	2.4
29	25701.687553	7.862487	0.000042	945.577887	5.4
30	24604.373192	7.850627	0.000042	945.608274	3.2
31	25001.955414	7.838767	0.000042	2204.227944	4.9
32	25817.038900	8.838765	0.000041	1378.120619	3.9
33	24385.173904	9.838765	0.000039	710.860716	5.7
34	24988.540581	9.826905	0.000040	860.206693	3.8
35	24694.999976	9.815045	0.000040	1042.531961	6.6
36	24976.258436	9.803186	0.000040	887.196538	4.5
37	25343.469857	9.791326	0.000040	783.966067	5.0
38	24757.938296	9.779466	0.000040	1102.454851	3.9
39	25165.187504	9.767606	0.000040	837.166545	5.1
40	23918.758849	9.755746	0.000040	1437.994082	4.8
41	24814.308888	9.743886	0.000040	867.484986	2.7
