X,Y,Z,Time
-2.4587425633463966,0.7618663194939215,2.898684335490236,0
-3.2682800872834967,1.4398439452339076,4.602566282305614,1
-4.812353189562278,2.683337120448293,7.135414913375152,2
-4.540187313601164,2.8840736042809088,11.891751322802588,3
-4.752599655263379,3.9571682815341824,11.39972500605263,4
-4.736331313743406,2.973943747791419,13.674664121694926,5
-4.698445342033692,1.833534530761874,17.2431403244926,6
-5.05492657556127,2.4766056399818326,18.869378513433254,7
-2.195798540259823,3.2711239145354596,19.80147597736323,8
-1.8595111681115628,1.1186449117432131,16.632809615550503,9
-1.7130302504200992,0.8551982390025443,14.302153428678176,10
-0.6320863823720245,-0.41481681188882985,11.098135465646411,11
0.07036863272334061,-0.4889291365605343,8.371657691982342,12
1.5235627173192963,-0.8014741660505285,5.224424238667849,13
1.9400807724278737,-0.7783630995813786,1.8016078458707647,14
1.4690703601023982,-0.054169365078155694,0.4727949567877167,15
-0.035411226691713954,-0.015376896424945411,0.012768889663740672,16
