1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	18976.704676	0.000000	0.000238	2675.687398	243.0
1	18386.913634	0.000000	0.000238	1022.573747	1.7
2	17861.865544	0.000000	0.000238	568.329453	1.6
3	17172.271716	0.000000	0.000238	657.551017	1.6
4	17872.433200	0.000000	0.000238	611.296471	1.4
5	19085.904654	0.999994	0.000227	678.699113	1.4
6	18722.672139	1.999988	0.000217	534.822063	1.4
7	17244.934711	1.982820	0.000217	655.290528	1.4
8	18936.211222	2.982775	0.000208	356.232622	1.4
9	18453.174130	2.967840	0.000209	947.060644	1.5
10	17625.386556	3.967546	0.000200	812.827513	1.5
11	17968.672999	4.967546	0.000192	469.762598	1.5
12	18462.932484	5.967546	0.000185	418.657145	1.5
13	17763.792391	5.950378	0.000185	498.761971	1.8
14	21198.984021	5.933210	0.000186	490.623471	1.5
15	17395.442292	6.932488	0.000179	610.057065	1.6
16	18760.893422	6.915410	0.000179	319.037540	1.6
17	18468.829924	6.898245	0.000179	567.368673	1.6
18	16746.520795	6.881077	0.000179	344.584959	1.6
19	18400.492922	6.864858	0.000179	259.778478	1.6
20	18578.582747	6.847692	0.000179	566.184066	1.6
21	17768.254448	6.830890	0.000180	712.678513	1.7
22	19745.420751	7.830890	0.000173	411.217990	1.7
23	19661.289693	7.813736	0.000173	1106.088555	1.7
24	17967.872950	7.796573	0.000174	1033.016669	1.7
25	17608.076996	8.796573	0.000168	330.978763	1.7
26	18605.791947	8.779406	0.000168	237.678313	1.7
27	17551.937341	8.762271	0.000168	361.816166	1.9
28	17494.428016	8.745108	0.000168	326.532764	2.0
29	18179.322966	8.807040	0.000168	554.236864	1.9
30	18557.380944	9.805595	0.000162	364.051176	1.9
31	17484.429663	9.788448	0.000162	297.347658	2.0
32	16024.511877	9.778090	0.000162	311.462192	2.1
33	17209.504810	9.760922	0.000162	238.711771	2.1
34	17681.181925	9.744558	0.000163	260.040697	2.1
35	17498.912489	9.729391	0.000163	475.267305	2.2
36	19111.030317	9.756948	0.000163	259.170457	2.2
37	17052.768295	9.741574	0.000163	489.710958	2.4
38	17897.412308	9.724408	0.000163	327.421120	2.4
39	19381.114650	9.707242	0.000163	253.006438	2.3
40	18438.324345	9.690074	0.000163	450.915724	2.4
41	18796.950996	9.672916	0.000163	394.791731	2.6
42	17733.304675	9.670039	0.000163	337.391579	2.7
43	17589.718568	9.652871	0.000163	322.830171	2.7
44	18397.656993	9.635752	0.000163	682.641271	2.7
45	18547.198935	9.898972	0.000162	401.083995	2.7
46	17458.073343	9.881878	0.000162	416.083420	4.3
47	19723.880737	9.864724	0.000162	416.905489	4.3
48	18679.171812	9.847557	0.000162	659.692228	4.1
49	18751.192026	9.841247	0.000162	327.806191	4.1
50	17445.726793	10.773760	0.000157	347.126296	3.3
51	17927.846009	10.756592	0.000157	450.268763	3.3
52	17868.736037	11.080421	0.000156	942.172167	3.2
53	18793.463540	12.080421	0.000151	255.004131	3.1
54	17692.937920	12.063261	0.000151	383.881281	3.1
55	18847.473332	12.046150	0.000151	347.101374	3.1
56	17949.266727	12.028987	0.000151	414.831668	2.8
57	17407.050872	12.011819	0.000151	547.329387	2.4
