1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	18608.257011	0.000000	0.000351	1785.842378	239.4
1	17022.280930	0.000000	0.000351	1014.149152	2.1
2	17726.083043	0.000000	0.000351	876.635710	1.5
3	16718.094827	0.000000	0.000351	176.833700	1.5
4	17182.869435	0.000000	0.000351	350.270289	1.5
5	17287.536795	0.065755	0.000350	363.691356	1.5
6	17124.995193	1.056569	0.000334	329.148544	1.4
7	16965.582691	1.917977	0.000322	267.612260	1.5
8	16904.158340	2.782441	0.000310	431.029353	2.2
9	16577.539992	2.960913	0.000308	256.106079	1.7
10	16452.686328	3.032065	0.000307	309.080891	1.9
11	17101.552509	3.001830	0.000307	324.774853	1.9
12	16943.388561	2.973435	0.000307	411.204492	2.4
13	16646.332800	3.791568	0.000297	378.578768	1.9
14	17392.026764	4.628578	0.000288	557.751180	1.7
15	17095.917634	5.628578	0.000277	489.052132	1.8
16	17068.111697	6.628578	0.000267	361.400649	1.7
17	17757.021931	7.628570	0.000257	503.324860	1.7
18	16938.564573	7.599484	0.000258	208.183682	2.3
19	17165.294588	7.569517	0.000258	180.666848	3.0
20	17182.096097	7.715177	0.000257	595.609814	3.1
21	17174.082964	7.684950	0.000257	214.195918	3.2
22	17353.972566	8.684338	0.000248	185.893545	3.2
23	17422.331431	8.654810	0.000249	214.578979	2.7
24	16492.457475	9.027676	0.000245	323.143128	2.6
25	17092.077426	8.997459	0.000246	238.524849	2.7
26	16722.584640	9.375136	0.000243	226.874383	2.7
27	16693.781007	9.346085	0.000243	440.196828	2.6
28	16594.514155	10.042976	0.000237	392.357164	2.4
29	17073.846828	10.450145	0.000234	388.204876	2.5
30	17776.124821	11.424804	0.000227	174.679178	2.4
31	16931.624720	11.394762	0.000228	260.244638	3.1
32	16553.882213	11.364703	0.000228	374.283117	4.3
33	17002.587087	12.347447	0.000221	462.422863	4.2
34	17463.700333	13.071550	0.000216	124.084526	3.0
35	16813.518908	13.547067	0.000213	314.503497	3.0
36	17007.495338	13.537286	0.000213	253.634696	3.5
37	16485.992607	13.980488	0.000211	445.318312	3.7
38	17187.274397	14.141953	0.000210	379.971792	4.8
39	17095.666205	14.122661	0.000210	290.394029	4.8
40	16319.671201	14.126377	0.000210	407.661559	4.6
41	17412.727032	14.096544	0.000210	121.834379	4.2
42	16014.385045	14.190208	0.000209	196.660503	4.7
43	18433.789280	14.220674	0.000209	169.336780	4.8
44	18033.861617	14.198292	0.000209	386.588145	5.0
45	16495.824246	14.639432	0.000207	220.462616	5.2
46	16429.664125	14.609491	0.000207	182.468659	4.7
47	17219.309310	14.761199	0.000206	277.660883	4.9
48	17594.737845	14.731011	0.000206	267.146641	5.2
49	16903.424483	14.721882	0.000206	200.402583	5.0
50	17107.833055	14.699565	0.000206	219.153668	5.0
51	16754.686731	14.836501	0.000206	371.985496	4.7
52	16417.799113	15.187102	0.000204	229.359665	4.7
53	16345.834030	16.168290	0.000198	165.327940	3.7
54	16565.431116	16.138559	0.000198	480.676644	3.7
55	17005.072768	16.108435	0.000199	212.984148	5.0
56	16963.524726	17.042355	0.000194	229.916977	4.9
57	17404.231350	17.012709	0.000194	345.086141	4.8
58	16491.395010	16.982454	0.000194	249.441902	5.2
59	16787.009435	17.462453	0.000192	245.153239	4.4
60	17253.892271	17.432193	0.000192	364.507665	3.7
61	16212.086593	18.291223	0.000188	338.293741	3.7
62	16975.119300	19.288260	0.000183	290.472506	3.0
63	17288.700249	19.258138	0.000183	292.540287	3.1
64	17405.657412	19.240610	0.000183	310.702582	5.2
65	17093.730405	20.234712	0.000179	287.925876	3.0
66	17694.831783	20.204432	0.000179	246.395726	3.1
67	17113.626281	20.997025	0.000176	349.928095	3.3
68	16906.257876	21.719251	0.000173	414.384431	3.2
69	16778.511008	21.688952	0.000173	446.634535	4.8
70	17601.445337	22.688907	0.000169	138.916449	3.9
71	16269.797643	22.658666	0.000169	247.354274	4.5
72	17983.584649	22.647579	0.000169	287.476663	4.6
73	17333.045257	23.587841	0.000165	209.610630	5.0
74	16521.079663	23.867387	0.000164	354.860789	4.8
75	17405.893735	24.712049	0.000161	412.515780	4.2
76	17217.769959	24.743132	0.000161	409.471765	4.0
77	17468.083830	25.743130	0.000158	147.006408	3.5
78	18097.955502	25.872573	0.000157	400.944089	3.3
79	16973.796618	25.842309	0.000157	305.955857	3.3
80	16389.771041	26.841842	0.000154	523.280440	3.3
81	17280.103580	26.811567	0.000154	247.916204	3.2
82	16474.896682	27.394963	0.000152	468.621011	3.2
83	16841.691254	27.364659	0.000152	190.143203	3.1
84	17320.369023	28.352146	0.000149	345.459400	3.0
85	17327.397684	28.322094	0.000149	515.118171	3.0
86	17101.650699	29.322093	0.000146	242.393858	3.0
87	16474.969440	30.321591	0.000144	303.011278	3.2
88	17215.699915	30.291294	0.000144	352.255590	4.8
89	16591.916353	30.260988	0.000144	715.578888	4.8
90	16308.434007	31.246688	0.000141	240.615103	4.7
91	17159.298845	32.246686	0.000138	187.451747	4.9
92	17353.136364	32.412673	0.000138	327.527288	4.8
93	16169.006165	32.383941	0.000138	588.112527	4.1
94	16474.599732	33.340367	0.000136	413.876718	4.8
95	16947.640888	33.310061	0.000136	445.787212	4.9
96	17495.041073	33.279755	0.000136	166.280500	4.6
97	17166.782436	34.023397	0.000134	390.374974	4.7
98	17047.242839	34.031247	0.000134	828.312796	3.6
99	17468.171514	35.031247	0.000132	208.155551	3.7
100	17347.924655	36.031231	0.000129	346.313183	3.6
101	16798.008893	36.091971	0.000129	491.963014	5.0
102	16910.200620	36.061776	0.000129	234.029094	4.5
103	16916.906602	37.060198	0.000127	266.471657	4.1
104	17022.255545	37.030018	0.000127	214.951241	3.9
105	16970.645785	36.999780	0.000127	391.245970	3.5
106	17584.167231	36.972517	0.000127	168.498914	4.0
107	16237.557252	36.954284	0.000127	176.385109	4.2
108	16930.145583	36.956416	0.000127	161.334993	3.7
109	16800.773473	36.933042	0.000127	409.603360	3.4
110	16674.583107	36.905728	0.000127	420.848397	3.6
111	17599.019346	37.905558	0.000125	314.151243	3.8
112	16685.610877	38.902762	0.000123	352.631402	4.1
113	16897.162951	39.509348	0.000122	378.012803	3.6
114	16858.826504	39.479053	0.000122	147.990469	3.7
115	16732.908837	40.297531	0.000120	218.409346	3.7
116	16806.743635	40.273307	0.000120	207.292405	3.3
117	16483.910117	40.304491	0.000120	273.630956	3.4
118	17014.887594	40.274253	0.000120	316.359774	6.0
119	17770.621682	40.456947	0.000120	500.029843	4.0
120	17400.875327	41.431916	0.000118	73.766417	3.6
121	17062.819922	41.495657	0.000118	340.628183	3.2
122	17198.724059	41.498003	0.000118	426.174029	2.9
123	16945.746339	41.467697	0.000118	356.682111	2.6
124	17435.794487	42.467692	0.000116	493.932591	3.5
125	15932.369639	43.467561	0.000114	300.163287	2.7
126	17204.993601	44.446627	0.000113	186.101597	2.7
127	17070.525351	44.418090	0.000113	365.624725	2.9
128	16602.389354	44.414981	0.000113	240.990613	3.1
129	16825.913208	45.405694	0.000111	455.798453	2.9
130	17116.956054	46.352500	0.000109	152.787077	2.8
131	16742.425531	46.980524	0.000108	692.150830	2.7
132	17337.185666	47.024460	0.000108	477.535334	2.8
133	16949.562430	46.994154	0.000108	216.133028	2.7
134	17394.385966	47.728627	0.000107	215.914457	2.5
135	16100.693976	47.701162	0.000107	217.748880	2.4
136	17057.582877	47.671059	0.000107	236.928313	2.5
137	16558.451817	47.641505	0.000107	182.887370	2.5
138	17202.743961	47.612135	0.000107	80.560158	3.3
139	18326.198442	47.599138	0.000107	545.866119	2.5
140	16728.681746	47.641517	0.000107	355.403264	3.1
141	16791.740108	47.611211	0.000107	189.229870	4.8
142	16623.759152	47.580976	0.000107	652.361628	4.8
143	16336.377566	48.580783	0.000106	159.465731	4.4
144	17225.586294	49.565451	0.000104	234.373497	4.6
145	16877.000365	49.902106	0.000104	282.439855	3.1
146	16970.029318	49.871870	0.000104	256.744246	3.6
147	17511.072311	49.841588	0.000104	460.729935	3.8
148	16524.703369	50.841403	0.000103	204.062114	4.8
149	17318.414355	51.790216	0.000101	240.690249	4.6
150	17094.996556	51.760140	0.000101	253.395604	3.5
151	16539.677579	51.740557	0.000101	414.338915	4.5
152	16587.260243	51.710627	0.000101	323.768840	4.3
153	17089.327719	51.680328	0.000101	227.473976	3.3
154	17105.156255	51.869073	0.000101	339.519581	3.3
155	16586.768339	51.839270	0.000101	310.388261	3.7
156	16509.215360	51.911686	0.000101	446.308623	5.2
157	17090.748678	51.881380	0.000101	144.243435	5.0
158	17509.090610	52.068441	0.000101	483.314829	4.7
159	17148.141427	52.038163	0.000101	331.609325	4.8
160	16981.562201	53.036688	0.000100	290.413981	3.7
161	17013.661515	53.177370	0.000099	355.156684	3.8
162	17584.126596	54.162959	0.000098	364.965499	3.7
163	16382.798461	54.133713	0.000098	549.064403	3.4
164	16891.360362	54.103753	0.000098	241.165989	3.5
165	17077.195151	55.059384	0.000097	132.100897	3.5
166	16613.326915	55.050610	0.000097	284.304995	3.6
167	16885.261306	55.031659	0.000097	113.577343	4.5
168	16779.152226	55.004271	0.000097	370.423782	3.0
169	16878.763105	54.991571	0.000097	294.993896	3.3
170	16680.438300	55.890535	0.000096	234.507924	3.2
171	16980.215534	56.030049	0.000096	191.743916	3.0
172	17671.786377	56.164505	0.000096	476.834465	2.7
173	16948.928960	56.134418	0.000096	218.531342	2.8
174	17402.502641	57.133376	0.000094	309.323025	4.8
175	16502.609569	57.656964	0.000094	88.200682	4.7
176	17183.873947	57.660646	0.000094	255.787936	2.9
177	17248.888288	57.656368	0.000094	614.598237	3.3
178	17404.612249	58.656366	0.000093	226.013022	3.6
179	17461.982587	59.645574	0.000091	360.647743	5.1
180	16707.442612	59.615294	0.000091	495.156020	3.6
181	16660.699689	59.588034	0.000091	210.221187	3.4
182	16865.651331	59.557730	0.000091	462.492305	3.6
183	16770.579379	59.640488	0.000091	252.242856	3.3
184	17296.804661	60.355221	0.000091	226.556091	3.2
185	16769.025444	60.324995	0.000091	365.176062	3.1
186	16925.424368	61.166589	0.000090	510.870867	3.4
