1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	164233.366930	0.000000	0.000051	4641.848091	176.8
1	158991.990552	0.000000	0.000051	1448.341117	2.7
2	165756.432758	0.000000	0.000051	4716.262602	2.7
3	154792.843039	0.997336	0.000049	1342.960466	2.7
4	156182.087481	1.925823	0.000047	3451.591106	2.7
5	164041.108550	2.834275	0.000045	2052.171838	3.2
6	159571.958601	2.573496	0.000045	3163.684377	3.2
7	166811.648995	2.209248	0.000046	952.266775	3.3
8	160375.346697	3.208090	0.000044	4234.581608	3.5
9	155108.582491	4.204049	0.000042	5128.810654	3.6
10	160696.894544	5.204049	0.000041	1163.195385	3.6
11	159060.953191	5.557349	0.000040	2569.932545	3.5
12	158433.648111	6.245013	0.000039	5118.024404	3.4
13	157357.699006	7.245013	0.000038	679.350355	3.4
14	158462.601798	8.244794	0.000037	629.775247	3.2
15	158429.637776	8.026000	0.000037	2340.302010	3.1
16	163366.282251	7.895278	0.000037	2090.076642	3.1
17	154536.340986	8.895271	0.000036	4720.457206	3.2
18	152899.097411	9.895261	0.000035	3095.682475	3.2
19	159085.032300	9.531012	0.000035	4084.984548	3.2
20	159521.542593	10.530997	0.000034	2947.676033	3.4
21	153064.319858	10.167895	0.000034	1539.658348	3.6
22	159503.280874	9.885160	0.000035	2368.105922	3.4
23	158735.561434	9.525399	0.000035	2722.734753	3.3
24	159752.859625	9.227194	0.000035	2952.800398	3.2
25	163018.084768	8.862975	0.000036	1429.928035	3.2
26	157338.168927	9.525090	0.000035	3992.726555	3.3
27	155077.309783	9.165435	0.000035	2265.892528	3.4
28	158713.063275	10.165435	0.000034	705.004902	3.5
29	158212.268175	10.530219	0.000034	932.343724	3.6
30	159730.323243	10.459809	0.000034	1973.604585	3.7
31	160545.070165	11.395858	0.000033	1476.748400	3.7
32	161916.433160	11.031810	0.000033	599.051621	3.0
33	162127.176375	11.026776	0.000033	1138.929107	3.0
34	159485.373836	11.162258	0.000033	4042.883574	3.0
35	154038.019550	10.798009	0.000034	1648.119202	3.1
36	153299.512379	10.433759	0.000034	928.616041	3.1
37	155029.818001	10.596752	0.000034	3371.868673	3.1
38	156653.490670	11.587813	0.000033	672.614836	3.3
39	155905.151908	12.056192	0.000032	884.588608	4.4
40	159430.108936	11.823774	0.000033	1254.388357	3.4
41	158759.771732	12.414745	0.000032	2513.277047	5.1
42	166181.613793	12.050884	0.000032	2651.684034	4.8
43	159924.864217	11.686637	0.000033	1657.267295	4.9
44	155658.345537	12.686609	0.000032	2461.631167	5.0
45	160366.600273	12.322479	0.000032	2781.070038	4.0
46	163414.822365	11.958230	0.000032	1906.877548	3.9
47	162400.022572	11.593981	0.000033	2074.361523	4.1
48	162959.403032	12.592936	0.000032	2724.947732	3.4
49	164931.299666	13.592936	0.000031	3563.680981	3.4
50	154216.839206	14.592936	0.000030	4709.153305	3.3
51	158410.653154	15.592936	0.000029	4387.804962	3.4
52	164088.888633	16.592936	0.000028	1961.627464	3.2
53	159346.295695	16.228687	0.000029	3878.686579	3.4
54	164946.698934	17.228687	0.000028	2770.184033	3.5
55	166296.255967	18.228687	0.000027	1097.587117	3.4
56	154829.376483	18.939182	0.000027	1819.104761	3.4
57	160831.114684	18.796108	0.000027	1808.840618	3.4
58	159568.490727	18.525480	0.000027	3231.087066	3.5
59	161279.227410	19.525479	0.000026	3542.143508	3.2
60	161101.292746	20.525479	0.000026	996.958046	3.1
61	159754.658265	20.161237	0.000026	2277.594460	3.3
62	156406.726524	21.125118	0.000025	1754.850491	5.2
63	158411.341854	22.125090	0.000025	1524.812170	3.1
64	153075.660127	23.112195	0.000024	4008.372577	3.1
65	160557.311184	22.747946	0.000024	3720.525403	5.3
66	160861.176396	23.747946	0.000024	2634.046429	5.1
67	164330.847306	23.383696	0.000024	1530.292228	3.9
68	155213.561147	23.019457	0.000024	814.926971	3.9
69	159765.813244	22.858791	0.000024	1797.031719	3.9
70	160488.372984	22.515568	0.000025	6252.785184	4.4
71	158327.161681	23.515568	0.000024	1408.437322	4.5
72	160862.956279	23.151319	0.000024	3565.486932	5.1
73	155895.017394	24.135833	0.000024	1250.261593	4.7
74	160869.681698	25.134947	0.000023	1630.827056	5.2
75	161916.590956	24.778157	0.000023	2049.990038	4.9
76	160764.939529	24.415141	0.000024	1863.516478	3.8
77	154151.230461	25.414950	0.000023	1909.406042	3.9
78	158635.383958	26.410019	0.000023	2517.992991	5.2
79	156703.092629	27.408485	0.000022	1636.858042	5.1
