1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	148735.434708	0.000000	0.000409	4433.491356	212.8
1	137892.683409	0.000000	0.000409	4462.869177	1.7
2	129804.292751	0.000000	0.000409	4057.481891	1.5
3	125796.401559	0.000000	0.000409	4434.576276	1.5
4	116150.540594	0.000000	0.000409	4273.218748	1.4
5	109738.822498	0.000000	0.000409	4276.069729	1.7
6	101770.336475	0.000000	0.000409	4665.770514	1.5
7	90574.707346	0.000000	0.000409	4683.164973	1.5
8	82860.825446	0.000000	0.000409	5207.604948	1.5
9	68491.835315	0.000000	0.000409	5569.262483	1.5
10	51750.139426	0.000000	0.000409	6176.173409	1.5
11	37103.498154	0.000000	0.000409	6102.756861	1.5
12	22242.458907	0.000000	0.000409	5174.724237	1.6
13	12209.682596	0.000000	0.000409	3484.403120	1.6
14	8763.747481	0.000000	0.000409	1857.967425	1.6
15	8020.373356	0.000000	0.000409	941.965310	1.5
16	7240.863431	0.000000	0.000409	439.155549	1.6
17	7411.037863	0.000000	0.000409	381.736297	1.6
18	7231.896580	0.000000	0.000409	317.709532	1.7
19	7206.753989	0.000000	0.000409	315.719521	1.7
20	7157.980147	0.000000	0.000409	269.737557	1.7
21	7056.583821	0.000000	0.000409	180.539357	1.7
22	7144.768415	0.000000	0.000409	253.162408	1.7
23	7008.744528	0.000000	0.000409	188.150456	1.7
24	7174.432194	0.000000	0.000409	314.250054	1.9
25	7026.168156	0.000000	0.000409	224.553850	1.9
26	6812.752163	0.000000	0.000409	197.600438	4.0
27	6522.864842	0.000000	0.000409	436.217111	2.4
28	7120.055890	0.000000	0.000409	347.102391	2.4
29	6509.673891	1.000000	0.000390	220.725640	2.4
30	6939.489026	1.892502	0.000375	228.938524	4.3
31	7070.458778	1.892451	0.000375	188.857499	2.5
32	7095.455438	1.879214	0.000375	257.051904	2.4
33	6822.204658	1.865985	0.000376	259.539568	2.0
34	6923.189871	1.852833	0.000376	311.367244	2.8
35	6744.458039	1.839740	0.000376	254.977273	2.0
36	6873.522373	2.500031	0.000365	242.247051	1.9
37	7129.548517	2.500788	0.000365	284.321694	2.0
38	6649.565741	2.558366	0.000364	198.920408	1.9
39	6808.424765	2.545130	0.000365	261.269682	2.0
40	6357.053652	2.531949	0.000365	207.037792	2.0
41	6760.447043	2.518953	0.000365	345.774709	2.0
42	7012.785171	2.505713	0.000365	178.196903	2.0
43	7103.047995	2.492678	0.000366	224.279524	2.6
44	6568.551716	2.479439	0.000366	196.960392	2.2
45	6877.467339	2.466201	0.000366	197.112352	5.3
46	6590.055303	2.452993	0.000366	241.753984	3.4
47	6556.017176	2.439755	0.000366	180.123665	2.0
48	6773.404851	2.426515	0.000367	273.782120	2.3
49	6513.039536	2.414794	0.000367	189.789914	2.4
50	6810.373504	2.401561	0.000367	266.531574	4.7
51	6471.367492	2.388322	0.000367	255.789392	4.3
52	6494.169440	2.646491	0.000363	204.001164	4.3
53	6563.625934	2.633260	0.000363	176.686853	3.5
54	6727.139844	2.620918	0.000364	200.421348	4.0
55	6590.502882	2.607680	0.000364	294.113643	4.0
56	6699.155003	2.594441	0.000364	301.135089	3.1
57	6497.404173	3.592472	0.000349	168.951638	3.2
58	6638.705195	3.579301	0.000349	232.187845	3.0
59	6688.020693	3.566121	0.000350	182.880265	2.8
60	6490.988501	3.552944	0.000350	252.891557	2.7
61	6592.359453	3.539705	0.000350	518.449573	2.7
62	6472.063721	4.539704	0.000336	269.408655	2.7
63	6414.967470	5.539704	0.000324	176.654848	2.2
64	6377.408068	5.526604	0.000324	243.209951	4.5
65	6574.079658	5.513561	0.000324	168.725553	4.3
66	6930.612494	5.500329	0.000324	246.523785	4.0
67	6338.354652	5.487488	0.000324	176.887443	3.9
68	6404.094509	5.475492	0.000324	174.988883	3.3
69	6617.617746	5.462288	0.000324	189.100005	3.0
70	6315.824886	5.449096	0.000325	178.356026	3.1
71	6381.865372	5.436936	0.000325	175.432149	2.8
72	6342.107380	5.426144	0.000325	244.922405	2.5
73	6229.426740	5.429629	0.000325	188.641007	2.5
74	6454.530311	5.424431	0.000325	173.471156	2.4
75	6666.799063	5.412460	0.000325	176.799155	2.3
76	6917.160364	5.399243	0.000325	272.954379	4.2
77	6302.447797	5.386737	0.000325	191.948504	2.4
78	6425.859799	5.406115	0.000325	204.596579	4.1
79	6224.694256	5.392875	0.000325	164.907530	2.6
80	6607.404274	5.379718	0.000326	190.781668	2.6
81	6352.103474	5.366482	0.000326	375.104989	2.6
82	6274.334933	5.445224	0.000325	215.428071	2.6
83	6707.183109	5.431984	0.000325	232.898706	2.6
84	6603.830495	5.425452	0.000325	316.190835	2.5
85	6581.171225	5.412212	0.000325	221.947872	2.5
86	6314.155790	5.574837	0.000323	345.833703	2.2
87	6152.801774	5.561597	0.000323	146.189787	4.9
88	6349.765160	5.550131	0.000323	178.911022	5.0
89	6285.763030	5.536932	0.000324	193.740177	4.6
90	6461.955790	5.523836	0.000324	155.090324	4.4
91	6596.943224	5.510736	0.000324	171.851156	4.0
92	6249.770856	5.497514	0.000324	210.945608	3.9
93	6560.516635	5.485273	0.000324	190.750969	2.1
94	6467.125776	5.481663	0.000324	156.442802	2.3
95	6357.478681	5.468440	0.000324	144.127217	2.3
96	6123.677141	5.455269	0.000325	205.891743	2.4
97	5987.634404	5.442295	0.000325	212.358460	2.5
98	6562.147234	5.499353	0.000324	209.103510	2.2
99	6285.072522	5.486124	0.000324	172.429824	5.5
100	6024.487679	5.475924	0.000324	173.846623	2.0
101	6279.155344	5.471867	0.000324	390.594602	2.7
102	6184.927956	6.300939	0.000315	391.347176	2.3
103	6413.968541	7.300939	0.000303	192.423398	3.1
104	6043.199780	7.287699	0.000304	258.144656	2.6
105	6379.334832	7.519198	0.000301	146.113500	4.4
106	6242.572355	7.505964	0.000301	349.055243	2.7
107	6384.088063	7.493433	0.000301	233.831070	2.8
108	6364.578249	8.486678	0.000291	186.366752	4.8
109	6278.393154	8.473439	0.000291	178.141830	4.8
110	6216.293315	8.462368	0.000291	141.027413	3.5
111	6346.636076	8.450144	0.000292	220.580153	3.5
112	6322.069730	8.440224	0.000292	181.314006	4.6
113	6587.620024	8.458625	0.000291	170.651690	4.5
114	6329.669164	8.445390	0.000292	173.383711	4.5
115	5884.381504	8.432920	0.000292	206.415999	3.4
116	6178.878496	8.424395	0.000292	193.453194	3.4
117	6324.324073	8.411475	0.000292	151.241702	4.5
118	6414.661042	8.399941	0.000292	229.480517	4.5
119	6169.957231	8.387675	0.000292	215.367982	4.4
120	6409.456152	8.374551	0.000292	151.751299	3.4
121	6407.584547	8.362580	0.000292	158.958976	3.4
122	6401.569372	8.349370	0.000293	133.119803	3.2
123	6418.953741	8.336271	0.000293	266.474876	2.6
124	6052.294268	8.323106	0.000293	197.872893	2.6
125	6374.839919	8.309939	0.000293	315.982868	2.6
126	6138.878259	8.298678	0.000293	194.190996	2.5
127	6228.100872	8.315651	0.000293	166.469930	2.4
128	6295.765162	8.302549	0.000293	190.123570	2.4
129	6617.428790	8.289396	0.000293	203.417305	2.4
130	6347.057628	8.290284	0.000293	226.811318	2.4
131	5990.340284	8.561615	0.000290	288.104194	2.4
132	6461.945610	9.194555	0.000284	131.568815	2.4
133	6271.382308	9.181489	0.000285	195.610847	2.3
134	6332.285920	9.168363	0.000285	186.582088	2.4
135	6155.843967	9.162596	0.000285	140.152768	2.4
136	5952.451969	9.149408	0.000285	125.030295	2.4
137	6331.687009	9.137114	0.000285	128.079435	2.4
138	6394.270594	9.124518	0.000285	184.526015	2.4
139	6220.976170	9.111309	0.000285	176.916704	2.4
140	6155.388773	9.098495	0.000285	153.159120	2.4
141	6043.081949	9.086299	0.000285	132.428427	2.4
142	6176.254766	9.073467	0.000286	250.370554	2.5
143	6364.671252	9.061838	0.000286	134.913012	2.3
144	6213.091261	9.048651	0.000286	165.397171	2.3
145	6332.008036	9.035871	0.000286	202.190604	2.3
146	6100.031227	9.033470	0.000286	168.541886	2.3
147	6019.238308	9.023151	0.000286	157.703974	2.4
148	6206.891472	9.012643	0.000286	259.648005	2.5
149	5744.923480	8.999411	0.000286	203.674743	2.5
150	6076.118096	9.934695	0.000278	131.437234	2.5
151	6058.999843	9.926995	0.000278	201.711948	2.4
152	6306.681711	9.913781	0.000278	160.295812	2.2
153	5948.350903	9.939561	0.000278	187.633397	3.6
154	5851.409310	9.926625	0.000278	169.544636	2.2
155	6305.980994	9.923857	0.000278	148.905472	2.6
156	6197.839258	9.913165	0.000278	156.986937	2.7
157	5797.452169	9.899958	0.000278	161.258078	3.6
158	6554.510664	9.889082	0.000278	265.670833	2.7
159	6102.915395	9.879041	0.000278	366.776136	2.1
160	5967.231938	10.879039	0.000269	148.219655	2.1
161	6039.292922	10.867776	0.000269	262.196267	2.1
162	6024.959281	10.854565	0.000270	232.415793	2.7
163	5903.758311	11.830201	0.000262	282.777229	2.2
164	6260.255014	12.825323	0.000254	196.299767	2.7
165	6527.957487	12.812083	0.000254	342.681927	2.1
166	5898.699056	13.780944	0.000247	122.095566	2.2
167	5983.801480	13.770309	0.000247	190.238463	2.5
168	6001.967316	13.758386	0.000247	142.362832	2.0
169	6162.584451	13.745167	0.000247	130.395497	2.0
170	5767.286465	13.732233	0.000247	111.073179	2.1
171	6085.709803	13.719495	0.000247	137.504592	2.1
172	6177.027263	13.707353	0.000247	156.606351	4.9
173	6302.635233	13.694260	0.000248	268.095647	2.7
174	6091.080990	13.687515	0.000248	107.848350	2.5
175	6070.004271	13.675962	0.000248	104.133842	2.6
176	5778.786606	13.663680	0.000248	304.108659	2.3
177	6191.717427	13.652901	0.000248	155.135270	2.0
178	6150.739466	14.165684	0.000244	179.815337	2.1
179	6220.174220	14.153758	0.000244	140.121384	2.0
180	5968.829661	14.149195	0.000244	137.296180	3.0
181	5939.891398	14.136209	0.000244	145.001961	2.1
182	5873.908638	14.123361	0.000244	229.302862	2.0
183	5814.647184	14.112424	0.000245	134.077455	2.0
184	6496.703640	14.108334	0.000245	151.172516	2.1
185	5903.821307	14.095160	0.000245	223.221299	2.2
186	6008.684689	14.082192	0.000245	190.772895	2.2
187	5829.362672	14.631960	0.000241	246.800708	2.2
188	5975.981910	14.618723	0.000241	140.619172	2.2
189	5962.668344	14.696975	0.000241	146.199670	2.3
190	6123.622759	14.685786	0.000241	162.843460	2.3
191	6189.141375	14.674270	0.000241	212.538911	2.3
192	5861.248294	14.761179	0.000240	157.194171	2.3
193	5955.667254	14.839354	0.000240	214.489226	2.1
194	5994.720619	14.826130	0.000240	152.145812	2.1
195	6085.140973	14.812896	0.000240	160.021111	2.0
196	5885.473690	14.799698	0.000240	291.565635	2.1
197	5889.665761	15.613680	0.000235	139.494243	2.0
198	5828.739758	15.626665	0.000234	112.186920	2.3
199	5864.859341	15.614052	0.000235	227.761097	2.3
200	6058.290127	15.602973	0.000235	264.224940	2.2
201	6077.452284	15.589733	0.000235	205.425201	2.3
202	6104.796259	16.579155	0.000229	151.028100	2.3
203	5843.556095	16.567851	0.000229	194.411586	2.4
204	6020.888911	16.555368	0.000229	193.196762	2.4
205	5906.161749	16.542135	0.000229	333.247336	2.4
206	5805.477067	17.504161	0.000223	279.420937	2.5
207	5798.087774	18.504153	0.000217	155.107554	2.5
208	6107.661014	19.100643	0.000214	163.980989	2.4
209	6092.316286	19.129591	0.000214	162.092838	2.5
