1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	25150.109886	0.000000	0.000018	3604.835740	229.7
1	24359.003598	0.000000	0.000018	3301.653050	5.6
2	25016.367832	0.973772	0.000017	930.021639	6.3
3	25381.743094	1.973772	0.000016	718.468342	5.2
4	24968.911220	1.956128	0.000016	3111.361355	5.1
5	23885.026520	1.945214	0.000016	2230.156365	3.1
6	24787.525270	1.960184	0.000016	2151.836930	3.0
7	24232.177141	1.942469	0.000016	716.591500	6.9
8	24969.315790	2.937770	0.000016	2870.507658	4.0
9	23975.307318	2.920055	0.000016	2400.382938	4.1
10	24436.767403	3.920055	0.000015	1089.095178	4.0
11	24200.008310	3.907974	0.000015	1246.936331	3.9
12	23414.681108	4.227743	0.000015	1853.660372	3.7
13	23646.771281	4.210028	0.000015	2026.233976	4.6
14	25309.959267	5.210028	0.000014	724.982352	5.4
15	23386.283995	5.192502	0.000014	1740.140062	5.5
16	23747.838241	5.379635	0.000014	1366.376204	5.5
17	25724.205412	5.361920	0.000014	2853.904752	6.7
18	23356.160546	5.344206	0.000014	2451.853079	5.2
19	24492.417215	6.344206	0.000014	1066.655049	4.8
20	25204.773836	6.326491	0.000014	780.450169	6.4
21	25433.051785	6.308803	0.000014	1600.917736	4.7
22	23830.507814	6.344769	0.000014	1381.346435	5.1
23	24824.177527	7.344768	0.000013	1742.166074	3.5
24	25045.761892	7.328273	0.000013	2193.431085	5.5
25	24058.341773	7.320456	0.000013	1903.370447	4.1
26	23062.208726	7.302741	0.000013	2741.194309	4.3
27	24556.728896	8.302741	0.000013	1237.916842	4.6
28	25290.859292	9.302741	0.000012	1257.114930	4.5
29	24439.065203	10.300789	0.000012	1636.112749	4.3
30	23921.923583	11.297836	0.000012	1164.265470	5.5
31	22813.594115	12.052597	0.000011	1964.033185	3.9
32	24010.571559	12.961239	0.000011	3226.915646	3.1
33	24865.503601	13.961239	0.000011	1850.532707	5.6
34	23458.018484	13.943524	0.000011	4081.559887	4.1
35	23448.205443	14.943524	0.000011	2330.407754	2.9
36	23385.801464	15.943524	0.000010	2955.634078	3.5
37	23157.727681	16.943524	0.000010	1390.542292	3.4
38	25108.690722	17.943524	0.000010	1177.013229	3.1
39	24731.513307	17.930528	0.000010	907.268334	3.8
40	24463.517636	17.912981	0.000010	2882.653506	3.5
41	23648.872707	18.905989	0.000009	1999.804174	3.0
42	24822.796343	19.905989	0.000009	1318.454382	5.4
43	23438.172710	19.943872	0.000009	1018.334786	4.9
44	24544.191520	19.926791	0.000009	824.146486	4.9
45	23823.331293	19.909756	0.000009	2840.323006	4.7
46	24775.156246	19.892041	0.000009	596.645468	4.6
47	24116.904901	19.874328	0.000009	1871.794237	3.7
48	23930.158106	19.872820	0.000009	1507.429386	5.0
49	24712.082887	19.855105	0.000009	1129.097936	5.8
50	23849.222698	19.837390	0.000009	1061.625608	5.4
51	24983.775240	20.797341	0.000009	2856.011135	5.1
52	23428.690299	20.779626	0.000009	1364.346778	5.1
53	24370.743386	21.779626	0.000009	2630.221346	4.5
54	24656.570951	22.779626	0.000009	5286.428223	5.2
55	25139.501496	23.779626	0.000008	553.273007	3.5
56	24861.474068	23.761911	0.000008	3167.416678	3.6
57	25165.190165	23.801668	0.000008	2940.438696	3.6
58	23433.127902	24.801668	0.000008	3248.144457	3.5
59	24722.537520	25.801668	0.000008	2458.020844	3.5
60	23982.881097	25.783953	0.000008	1237.512478	6.6
61	24243.725733	25.955057	0.000008	1593.722506	3.5
62	23234.712074	25.962594	0.000008	2233.412136	3.7
63	25449.457245	25.944879	0.000008	995.909829	3.9
64	23958.692036	26.944232	0.000008	921.509190	6.0
65	23849.264440	27.006841	0.000008	1712.309517	5.4
66	24274.041473	27.343899	0.000008	1801.830879	4.9
67	23470.794075	27.326184	0.000008	600.792186	7.0
68	24124.170538	27.308910	0.000008	1124.757974	5.0
69	23418.550498	27.294117	0.000008	1840.432242	5.8
70	23135.494512	27.276403	0.000008	707.725455	4.6
71	22846.004904	27.843033	0.000008	1439.332324	4.6
72	24843.892655	27.825341	0.000008	1601.475331	4.4
73	23870.009263	28.726545	0.000008	1254.832096	6.4
74	25378.765223	29.575923	0.000007	2154.053983	2.8
75	23356.205463	29.558208	0.000007	2972.740096	3.4
76	23359.269454	30.558208	0.000007	822.420236	6.0
77	23222.795655	30.540509	0.000007	819.735928	3.6
78	24991.951032	30.525489	0.000007	2033.636350	3.0
79	24144.537811	31.491033	0.000007	1898.481263	3.7
80	25280.484132	32.491033	0.000007	728.969874	3.6
81	24299.441934	32.473323	0.000007	1346.451941	3.8
82	22886.417790	32.455611	0.000007	2137.538069	5.7
83	23418.135015	33.455611	0.000007	830.863566	5.5
84	24595.344963	33.841763	0.000007	1865.737569	5.2
85	23240.638231	34.096946	0.000007	1939.291572	4.9
86	25460.501800	35.081845	0.000007	552.912878	5.7
87	23438.183986	35.065651	0.000007	1104.122096	4.2
88	24061.712241	35.049148	0.000007	1011.693122	3.2
89	23854.324139	35.897217	0.000007	928.994623	3.3
90	24411.415313	35.879502	0.000007	2562.449156	3.3
91	24283.395920	36.879470	0.000007	798.504470	6.6
92	22791.545203	36.861755	0.000007	1042.864661	3.6
93	24148.998654	36.846207	0.000007	1023.476215	3.9
94	23119.973676	36.828501	0.000007	1664.352363	3.6
95	24688.948694	37.823096	0.000006	2526.839478	4.0
96	23315.919527	38.823096	0.000006	1851.212399	3.7
97	23857.121006	39.823096	0.000006	1419.086853	3.6
98	22948.471514	39.805381	0.000006	852.866664	5.8
99	22846.966008	39.787667	0.000006	990.755205	5.6
100	22269.385736	39.769954	0.000006	821.839112	5.2
101	22751.657081	39.793302	0.000006	2705.258585	6.5
102	24265.565024	39.775683	0.000006	1630.712636	3.8
103	25120.523130	39.757968	0.000006	1157.211574	3.1
104	24512.881660	39.740253	0.000006	2280.648143	7.5
105	23972.225666	40.740253	0.000006	922.061590	4.1
106	23889.815549	41.740243	0.000006	1876.423187	4.2
107	24083.345616	41.722528	0.000006	677.768750	4.2
108	24694.352570	41.709547	0.000006	1639.379816	5.2
109	23864.905695	41.691896	0.000006	2314.311836	5.0
110	24765.528411	42.691896	0.000006	1164.602641	4.7
111	24656.594317	43.691896	0.000006	764.647607	5.3
112	23775.931839	43.674765	0.000006	1373.450032	5.0
113	23638.248123	43.658747	0.000006	1747.657649	6.2
114	24285.863776	44.585814	0.000006	2179.051378	3.1
115	24056.001758	45.585814	0.000006	3681.433697	3.4
116	24020.196047	46.585814	0.000006	2014.530417	3.6
117	23606.393725	46.568099	0.000006	1373.303041	3.5
118	24690.121936	46.550384	0.000006	1351.426926	3.5
119	23830.790496	47.550304	0.000006	2108.177930	3.8
120	23642.799691	47.532589	0.000006	1190.387584	3.9
121	23962.908114	47.514874	0.000006	1519.260006	3.7
122	24709.146638	48.513732	0.000005	1652.256637	3.0
123	24345.042383	49.513729	0.000005	1154.269869	3.2
124	24800.533265	49.496014	0.000005	2648.413309	3.7
125	23997.735194	50.496014	0.000005	826.525949	4.5
126	24312.075807	50.478299	0.000005	2351.883799	3.6
127	22168.640836	51.470960	0.000005	2130.205357	3.9
128	24717.476314	52.470960	0.000005	1703.785222	3.8
129	23708.857392	53.470960	0.000005	1583.088770	3.6
130	23147.290223	53.453245	0.000005	1953.696622	5.4
131	26029.246515	54.453245	0.000005	1742.156938	5.8
132	23599.394654	55.453245	0.000005	2166.752441	5.0
133	25320.304272	55.435530	0.000005	1490.666904	4.8
134	24258.039583	55.417815	0.000005	2185.493131	3.5
135	23649.825227	56.417815	0.000005	2726.703886	5.7
136	23112.650916	56.400100	0.000005	941.474083	5.5
137	24216.652851	56.383759	0.000005	855.091850	4.9
138	24590.024165	56.366078	0.000005	1516.645599	4.9
139	24477.350081	56.348372	0.000005	2128.705026	4.8
140	23094.996373	56.330657	0.000005	1699.886526	4.7
141	24217.583089	57.330657	0.000005	1044.703898	5.5
142	24382.344065	57.314445	0.000005	1373.571088	4.9
143	24179.111105	57.319082	0.000005	1350.710504	4.9
144	23781.720541	58.316392	0.000005	838.733338	4.3
145	24239.489720	58.418639	0.000005	1210.316674	4.5
146	24681.560164	58.408019	0.000005	1312.315055	5.0
147	24581.758907	58.390304	0.000005	1528.745802	4.9
148	22889.885128	58.372589	0.000005	1994.746536	4.2
149	25634.093776	58.354874	0.000005	2799.086751	4.2
150	24077.636478	59.354874	0.000005	996.768861	4.9
151	22617.337743	59.337159	0.000005	1076.134039	4.6
152	22549.066294	59.319447	0.000005	1450.974719	5.8
153	24299.553413	60.318073	0.000005	1068.929443	5.8
154	25320.488703	60.300358	0.000005	1622.724274	5.8
155	22666.494052	60.282643	0.000005	977.578166	5.3
156	24579.381569	60.264968	0.000005	1229.847319	4.2
157	22611.545801	60.247253	0.000005	2639.758777	4.1
158	22798.127630	60.229538	0.000005	1831.204142	4.1
159	25623.072664	61.229538	0.000005	1288.677612	4.0
160	24305.571599	61.211823	0.000005	826.586900	5.1
161	23568.832350	61.947368	0.000005	654.669281	5.6
162	22700.140642	61.930141	0.000005	2220.231972	4.9
163	24197.745914	61.912426	0.000005	847.974464	3.0
164	23121.988409	61.895286	0.000005	2252.236513	2.7
165	24631.238535	61.888145	0.000005	2393.985379	3.1
166	23001.329461	62.888145	0.000005	1184.155720	3.2
167	24164.617020	62.870501	0.000005	2727.557961	3.2
168	23136.688350	63.870498	0.000004	1351.005817	7.0
169	22922.279467	64.870498	0.000004	1926.131651	3.4
170	24661.742782	64.852783	0.000004	1514.956317	5.5
171	23588.565267	64.835068	0.000004	1877.640796	3.7
172	24380.798768	65.835068	0.000004	1539.772706	3.6
173	23840.583574	65.817353	0.000004	1562.092754	4.3
174	23623.236000	65.832640	0.000004	723.613017	5.2
175	23951.351930	65.814970	0.000004	606.974686	4.6
176	23536.649908	65.797638	0.000004	2217.047237	5.1
177	24024.369082	65.785387	0.000004	794.363970	3.4
178	23970.854959	66.708447	0.000004	2642.714814	3.4
179	24011.159476	67.708446	0.000004	989.603031	3.4
180	24234.037350	68.698272	0.000004	1696.773411	3.3
181	23093.737978	68.680557	0.000004	1193.616183	3.7
182	24545.534368	69.680549	0.000004	1931.706999	4.8
183	23678.245113	70.680545	0.000004	1597.414215	4.0
184	23913.139802	71.680543	0.000004	2035.924507	4.3
185	23741.151964	71.662829	0.000004	1887.896060	4.0
186	24143.065301	72.662787	0.000004	677.723740	4.0
187	23703.673098	72.700694	0.000004	693.573006	5.0
188	23671.251878	72.683258	0.000004	1541.584991	3.3
189	23830.273099	72.665543	0.000004	572.409487	5.1
190	23538.698697	72.649142	0.000004	817.624342	3.9
191	22993.242036	72.631602	0.000004	2330.708488	2.9
192	23910.600346	72.613888	0.000004	1354.160467	5.0
193	23796.663168	73.594814	0.000004	1333.379086	3.0
194	23283.324233	74.593687	0.000004	1532.720560	5.4
195	25515.033593	74.575972	0.000004	1195.982983	2.8
196	25374.972491	74.558257	0.000004	740.256176	2.7
197	22581.988118	74.561261	0.000004	716.875273	6.4
198	23478.797221	74.543815	0.000004	920.364915	3.1
199	23621.161920	74.531382	0.000004	1642.403614	3.1
200	24577.258929	74.515660	0.000004	2259.489884	3.6
201	23834.672072	74.497945	0.000004	1258.462984	6.3
202	23043.537505	74.480230	0.000004	555.037268	5.9
203	23660.526945	74.465010	0.000004	2723.636297	4.3
204	25046.767893	74.449141	0.000004	1076.241720	5.4
205	23664.975576	75.449141	0.000004	1102.169312	6.2
206	22618.140854	75.965935	0.000004	2731.337803	5.5
207	24356.209767	76.964014	0.000004	1143.463587	3.8
208	23688.081470	77.964014	0.000004	638.084880	4.7
209	23366.741581	77.946317	0.000004	873.101620	5.6
210	23184.174615	77.938261	0.000004	496.196408	6.1
211	22865.136655	77.922003	0.000004	620.648727	4.4
212	23840.302811	77.905499	0.000004	1785.768754	3.4
213	24645.530517	77.907417	0.000004	1218.369088	4.1
214	23096.248389	78.907414	0.000004	2095.097987	5.5
215	23079.080152	79.907413	0.000004	2195.995592	6.4
216	23069.154224	80.907413	0.000004	1386.996217	2.8
217	23759.292131	80.889699	0.000004	932.603455	3.2
218	23621.578193	81.884372	0.000004	1493.378572	4.7
219	24820.273304	82.882370	0.000004	1208.473748	4.9
220	24617.803108	83.882219	0.000004	858.346665	4.0
221	23587.546644	83.864509	0.000004	2129.605566	4.4
222	23771.601320	84.858361	0.000004	1176.818314	4.1
223	24428.673021	85.858361	0.000004	1722.307505	5.5
224	23026.871894	86.858236	0.000004	2331.482331	4.9
225	24245.255105	87.858236	0.000003	748.657083	5.3
226	23954.687846	88.424061	0.000003	548.584213	4.1
227	24253.405028	88.406844	0.000003	1278.632605	5.1
228	24380.475328	88.392898	0.000003	523.296021	2.5
229	23918.906077	88.376958	0.000003	997.928284	4.1
230	23632.588087	88.359737	0.000003	2183.174506	4.5
231	23384.285406	89.359471	0.000003	1413.912473	4.3
232	22701.533971	89.341756	0.000003	1226.747705	5.1
233	24021.894142	90.282832	0.000003	1707.773471	4.8
234	23628.615911	90.265117	0.000003	2364.498865	3.7
235	23941.713234	91.265117	0.000003	3128.189995	3.7
236	23365.421502	92.265117	0.000003	912.204695	3.7
237	24029.720151	92.252871	0.000003	1087.846364	3.5
238	23764.294886	92.310143	0.000003	1068.656917	3.2
239	24064.412432	92.798957	0.000003	1895.365982	3.2
240	24872.731767	93.788226	0.000003	1536.412004	2.6
241	24197.760968	94.788224	0.000003	991.429517	5.6
242	23546.707143	95.202427	0.000003	903.391394	3.1
243	23573.178396	95.345802	0.000003	1117.702985	3.4
244	23628.421786	95.328092	0.000003	795.696787	3.5
245	23497.313922	95.310642	0.000003	915.242047	3.1
246	23332.614903	95.293052	0.000003	838.219418	5.1
247	25037.313564	95.277960	0.000003	636.290179	3.4
248	23099.148643	95.261600	0.000003	936.115503	4.6
249	23756.953189	95.244031	0.000003	2315.773770	3.2
250	22963.853681	96.242660	0.000003	1779.590969	6.3
251	24335.046988	96.224946	0.000003	886.494454	5.4
252	22759.119861	97.223409	0.000003	1533.158038	5.8
253	23703.759783	97.526659	0.000003	952.163008	4.5
254	23097.110865	98.524549	0.000003	782.047381	5.0
255	22718.877262	98.512143	0.000003	1993.489720	4.7
256	23881.857840	98.494544	0.000003	877.108012	3.4
257	23596.392986	99.468509	0.000003	1062.898897	3.7
258	23412.609516	99.453168	0.000003	648.359942	3.6
259	22683.639725	99.442568	0.000003	2467.409896	3.1
260	23376.068649	99.742619	0.000003	1474.102138	3.2
261	25154.901099	100.742619	0.000003	1598.759591	6.5
262	23508.942655	100.724905	0.000003	1523.538833	3.5
263	25007.259495	101.724848	0.000003	1616.483411	3.5
264	24642.686550	101.713643	0.000003	1854.199442	5.0
265	24475.791596	101.695928	0.000003	1732.953355	4.0
266	24669.770381	102.695928	0.000003	2604.269695	3.8
267	23738.346764	103.695928	0.000003	1531.259578	4.4
268	22755.556985	103.678213	0.000003	1016.097813	4.8
269	23593.602719	104.677589	0.000003	885.289542	4.2
270	22895.504039	104.659875	0.000003	1375.339081	4.4
271	24593.014035	104.642161	0.000003	1893.358066	4.2
272	23798.119253	105.569358	0.000003	1134.001881	4.3
273	24187.352405	106.566935	0.000003	1161.684343	3.9
274	24199.076849	106.549221	0.000003	1677.365031	3.5
275	23252.186644	106.531506	0.000003	599.783228	3.2
276	23715.196229	106.513833	0.000003	1276.145778	5.4
277	23298.647700	106.496897	0.000003	1000.640840	2.7
278	23222.139650	107.481118	0.000003	3581.880164	2.7
279	24227.653204	107.463403	0.000003	2425.898395	3.0
280	23664.874508	108.463403	0.000003	879.864168	4.4
281	23829.205183	109.463141	0.000003	1181.880081	3.1
282	23617.048314	109.446447	0.000003	1161.936246	3.3
283	23558.542039	110.128042	0.000003	1153.499604	3.3
284	25451.997817	110.110327	0.000003	1153.126077	3.3
285	23639.706067	110.134820	0.000003	1182.473601	6.2
286	23678.177589	110.117105	0.000003	828.854975	3.3
287	23761.134517	110.099393	0.000003	1853.252011	3.9
288	23365.682502	110.081678	0.000003	1263.037774	4.1
289	23069.464201	110.063963	0.000003	1706.526210	3.4
290	23389.766588	110.046248	0.000003	851.519756	5.2
291	22823.501629	110.937482	0.000003	1472.522181	3.2
292	23343.521499	111.120242	0.000003	1720.610486	6.4
293	23581.913436	111.102527	0.000003	955.601061	3.4
294	23062.809236	112.090540	0.000003	3140.679106	5.5
295	23522.220736	112.072825	0.000003	1142.857727	5.9
296	23927.186919	112.055110	0.000003	1246.625468	5.4
297	23671.921282	113.052118	0.000003	961.097486	5.5
298	23008.387817	113.898081	0.000003	805.838570	3.1
299	23029.017564	113.880396	0.000003	1695.127336	3.1
300	24071.646673	113.862682	0.000003	885.217475	4.7
301	24227.358202	113.910120	0.000003	992.503879	3.7
302	24126.223626	113.892710	0.000003	2823.769366	3.7
303	23529.223363	114.892705	0.000003	1532.675201	3.7
304	23796.307139	115.892705	0.000003	1817.332190	3.7
305	23889.250961	115.874990	0.000003	1219.648216	3.7
306	23327.876464	115.857275	0.000003	893.730254	3.7
307	25998.400209	115.839599	0.000003	2349.213473	3.7
308	23876.204303	116.839431	0.000003	1621.096591	5.1
309	22467.263763	117.839431	0.000003	1147.985012	5.2
310	24219.764039	118.837280	0.000003	729.563720	5.4
311	23178.825824	118.819577	0.000003	677.794141	5.6
312	24122.254753	118.811253	0.000003	2476.354896	5.3
313	23382.410086	118.793538	0.000003	1658.285459	4.9
314	23757.958724	118.775823	0.000003	1236.713088	5.0
315	23520.022223	118.758109	0.000003	1356.991108	5.0
316	24892.456444	118.742000	0.000003	2158.640724	5.3
317	24645.725428	118.724285	0.000003	1785.197563	5.4
318	23868.907194	118.706570	0.000003	772.070055	5.2
319	24208.806389	119.054021	0.000003	892.581176	4.1
320	24281.479343	119.111418	0.000003	928.209142	4.0
321	24463.711724	119.093705	0.000003	1835.767821	4.1
322	24087.141967	119.075990	0.000003	664.402068	3.5
323	23466.609890	119.058290	0.000003	3738.108912	3.6
324	23586.587080	120.055662	0.000003	1131.475925	6.2
325	23965.474529	121.055662	0.000003	1090.893619	4.9
326	24473.274293	121.040437	0.000003	1399.035302	5.1
327	24330.917399	121.063496	0.000003	1096.185973	4.8
328	23900.258268	121.045954	0.000003	622.929415	4.7
329	23982.793961	121.028557	0.000003	702.644718	4.2
330	23762.459059	121.020783	0.000003	1543.393246	4.3
331	22859.808828	121.816663	0.000003	1138.173827	3.9
332	25030.716663	121.798949	0.000003	1118.621150	5.3
333	24155.837730	122.247124	0.000003	1700.238248	5.1
334	24408.062655	123.247038	0.000003	2799.672376	7.2
335	23986.753490	123.229323	0.000003	1597.745907	4.3
336	23427.442884	123.211608	0.000003	867.043362	5.8
337	22496.401701	123.193903	0.000003	1184.606532	5.6
338	24030.309333	123.723505	0.000003	2095.984275	4.9
339	23974.373893	123.705790	0.000003	2256.936513	4.5
340	23621.370036	124.705790	0.000003	558.293394	4.5
341	24489.138004	124.692988	0.000003	1149.805595	4.4
342	23656.303825	124.676204	0.000003	875.980486	4.2
343	23565.945947	124.658493	0.000003	1461.510757	3.9
344	24005.470385	125.520099	0.000003	2289.494486	5.2
345	23361.014669	125.502384	0.000003	2712.531922	3.9
346	23398.272363	126.502384	0.000003	720.209747	4.1
347	24717.462715	126.484674	0.000003	1519.957804	6.1
348	22877.870148	126.467517	0.000003	3515.926141	4.5
349	22020.714719	127.431372	0.000003	1034.567885	5.0
350	25267.924289	127.413657	0.000003	1283.860656	3.5
351	24444.849843	127.800614	0.000003	2674.641075	3.9
352	23794.038195	128.800564	0.000003	1380.006763	3.9
353	24002.818936	128.783008	0.000003	1199.013120	5.3
