1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	5862.236117	0.000000	0.000184	2229.612669	202.6
1	5189.055408	0.000000	0.000184	741.142131	1.6
2	5470.163611	0.000000	0.000184	358.518708	1.5
3	5339.482494	0.000000	0.000184	526.368201	1.5
4	5641.982952	0.000000	0.000184	431.806074	1.5
5	5155.849746	0.999999	0.000176	320.657293	1.5
6	5457.148009	1.897861	0.000169	369.795273	1.5
7	5506.177959	2.005284	0.000168	490.324483	1.6
8	5421.786778	2.291599	0.000166	309.699598	1.8
9	5171.793378	3.290054	0.000159	196.084406	1.8
10	5470.511083	3.691393	0.000157	122.498999	1.8
11	5728.342842	3.682913	0.000157	330.766543	1.7
12	5589.164713	3.667284	0.000157	216.677288	1.8
13	5697.769646	4.504891	0.000152	317.477990	1.8
14	5478.307921	4.490692	0.000152	153.023348	1.8
15	5161.100636	4.474003	0.000152	326.479144	1.7
16	5259.085838	4.489949	0.000152	526.199132	1.8
17	5331.064332	5.487924	0.000146	204.590775	1.8
18	5305.386717	5.471008	0.000146	433.156314	1.8
19	5496.057425	6.421538	0.000141	122.608015	1.7
20	5388.578737	6.510692	0.000141	129.322910	1.7
21	5688.811658	6.499057	0.000141	249.339510	2.7
22	5530.009550	6.498556	0.000141	183.345860	3.1
23	5196.956807	6.652768	0.000140	157.058196	3.3
24	5573.439389	6.640933	0.000140	129.451312	3.4
25	4999.661731	6.630893	0.000140	140.778760	3.3
26	5002.484143	6.625298	0.000140	150.070248	2.9
27	5107.809000	6.613059	0.000140	209.432701	2.7
28	5352.448484	6.611290	0.000140	223.561409	2.6
29	5084.781394	7.003284	0.000138	235.824211	2.6
30	5490.789221	7.012830	0.000138	362.487419	2.2
31	5358.890997	7.018281	0.000138	162.647843	2.1
32	5205.271418	7.442461	0.000136	310.157696	2.0
33	5416.867381	7.429006	0.000136	306.890145	2.1
34	5646.199094	7.605472	0.000135	330.100196	2.1
35	5086.757121	7.588615	0.000135	283.716266	1.9
36	5289.146570	8.553693	0.000131	252.303050	1.9
37	5236.118712	8.536948	0.000131	482.063449	1.9
38	4913.128939	9.358567	0.000127	354.096705	1.9
39	5234.428189	10.358562	0.000123	215.089265	2.0
40	5160.137231	11.227815	0.000120	397.552600	1.9
41	5215.311507	11.211076	0.000120	254.062871	1.9
42	5321.779073	11.198267	0.000120	299.094834	1.9
43	5299.088689	11.611843	0.000119	200.155353	1.9
44	5354.799754	11.790991	0.000118	256.932358	1.9
45	4997.448366	12.166578	0.000117	239.926702	1.9
46	5225.065957	12.149817	0.000117	404.057719	1.9
47	5275.481857	12.991772	0.000114	352.892284	2.0
48	5528.801868	13.982596	0.000111	181.345243	2.4
49	5193.262001	13.986428	0.000111	144.674024	2.1
50	5312.002083	13.977304	0.000111	283.262602	2.3
51	4745.421249	14.072403	0.000110	220.653981	1.8
52	5311.061575	14.129512	0.000110	144.369448	1.8
53	5151.444824	14.120300	0.000110	226.642372	1.9
54	5307.331075	14.248363	0.000110	149.406959	1.9
55	5287.178950	14.246546	0.000110	466.961516	1.9
56	5349.901743	14.230398	0.000110	190.376573	2.0
57	5210.322899	14.270061	0.000110	117.887002	1.9
58	5174.732870	14.278477	0.000110	262.233377	1.9
59	5333.005642	14.262538	0.000110	195.105887	1.9
60	5577.127872	14.249168	0.000110	259.611350	2.5
61	5407.757418	14.234114	0.000110	189.726537	2.5
