X,Y,Z,Time
-1.7594808951833132,0.36784817438347106,3.697750765960957,0
-2.978826802339644,1.2236373906488922,6.1958215580649325,1
-5.027627239402388,1.917700649241474,11.9342216746647,2
-5.688194105585264,1.3987858999212603,21.596126474038496,3
-6.677355541260631,2.5928897667924318,23.598602368128564,4
-6.702716631936057,1.686128712870988,30.25728332345117,5
-6.340352007802425,0.14356244571000085,35.84955564171241,6
-6.5269929288459405,-0.26601559894510274,39.13281310815677,7
-5.120113396819898,0.9205576085852376,37.927689415912475,8
-4.200981674741708,1.17442981499352,32.19544670127992,9
-2.9725778097261766,-0.16185545215537392,26.162570934223737,10
-1.3308824194086857,-0.6119885322572245,20.092125695667175,11
-0.3230436982771662,-1.092043800517354,13.017367776169339,12
2.044883268572241,-1.5760339467529063,7.823345170577817,13
3.397003241875438,-1.7014205708312966,1.6202538276538507,14
2.9114687505462875,-1.0210953813657155,0.3095873482700487,15
1.5310551325872739,-0.7236224400676768,-0.6699489130735965,16
