F/E-axis,ADD/ABD-axis,INT/EXT-axis,Motion %
-0.25919861548775786,-0.03518317096182616,0.3852222057597191,1
-0.5183972309755157,-0.07036634192365232,0.7704444115194382,2
-0.7821737364013645,-0.10018929482621368,1.1484807244775495,3
-1.059683911641486,-0.11393159355098074,1.5049593590308363,4
-1.3371940868816075,-0.1276738922757478,1.8614379935841237,5
-1.6225965660783352,-0.13176583264089392,2.2044039422827297,6
-1.9158913492316687,-0.1262074146464192,2.5338572051266546,7
-2.2091861323850024,-0.12064899665194448,2.86331046797058,8
-2.5125250749191275,-0.10215666482608939,3.1737387492376987,9
-2.8192120705801837,-0.07935302838977418,3.4778253699792154,10
-3.1258990662412396,-0.056549391953458886,3.7819119907207326,11
-3.4437204354381885,-0.018471378112288724,4.062231229076676,12
-3.7615418046351374,0.01960663572888144,4.342550467432623,13
-4.0816159465815165,0.061031697972122885,4.617312807648854,14
-4.4084484067761895,0.11249790542157805,4.875404453445945,15
-4.735280866970862,0.16396411287103319,5.13349609924304,16
-5.065624509612143,0.22122365384655415,5.381214108729004,17
-5.399479334700033,0.28427652834814093,5.618558481903847,18
-5.733334159787924,0.3473294028497277,5.855902855078687,19
-6.071065131292594,0.4177846256536096,6.078752411321704,20
-6.410088151602854,0.49070729789158973,6.2967703619207835,21
-6.749111171913116,0.5636299701295703,6.51478831251986,22
-7.091582774208565,0.6447902280286221,6.71484122069954,23
-7.434054376504014,0.7259504859276737,6.9148941288792205,24
-7.776991860094879,0.8087832515332669,7.1107812540206154,25
-8.12132698757199,0.8966335402584836,7.294171030047149,26
-8.465662115049103,0.984483828983701,7.477560806073683,27
-8.810203754932115,1.0749476843247554,7.653240236211714,28
-9.154951907221028,1.1680251062816476,7.8212093204612385,29
-9.499700059509944,1.26110252823854,7.9891784047107635,30
-9.843771022455556,1.3570666198536323,8.146469197992042,31
-10.187616255620071,1.453992934688125,8.300200560950573,32
-10.531461488784588,1.5509192495226176,8.453931923909105,33
-10.873222415322163,1.6504008741210527,8.594549066172542,34
-11.214983341859739,1.7498824987194876,8.735166208435983,35
-11.55596148397336,1.8497007192905977,8.872770803202096,36
-11.894591272815118,1.9505287277797323,9.001337755476225,37
-12.233221061656876,2.0513567362688674,9.129904707750356,38
-12.569829144333118,2.1522958023869383,9.252948845437665,39
-12.90441552084384,2.253345926133945,9.370470168538152,40
-13.239001897354564,2.354396049880952,9.48799149163864,41
-13.569972425965844,2.4548330515270558,9.597937411053058,42
-13.899737671943976,2.555065679139525,9.705358195905454,43
-14.229502917922108,2.655298306751994,9.81277898075785,44
-14.553803871599754,2.7537584840779297,9.910984848397582,45
-14.8781048252774,2.852218661403865,10.009190716037317,46
-15.200912554546367,2.950018151930273,10.105299392160216,47
-15.519240610589293,3.045835582058097,10.195116493732607,48
-15.83756866663222,3.1416530121859223,10.284933595305,49
-16.1527232494075,3.2357562488791087,10.370939654471316,50
-16.464704358915135,3.3281452921376573,10.453134671231563,51
-16.77668546842277,3.4205343353962063,10.53532968799181,52
-17.083726748678753,3.5098263516797368,10.612338549666756,53
-17.38912141918418,3.598086025638263,10.687618692979939,54
-17.694516089689614,3.686345699596788,10.762898836293118,55
-17.99321938515959,3.7698596790649592,10.831911847634203,56
-18.29192268062957,3.85337365853313,10.900924858975284,57
