1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	25451.660666	0.000000	0.000032	1319.118183	280.6
1	23934.146362	0.000000	0.000032	4693.292808	3.9
2	24974.401952	0.950683	0.000030	2079.850488	2.1
3	23824.694472	0.833178	0.000030	1103.899387	1.8
4	24025.869421	0.715702	0.000031	2625.550904	3.6
5	23953.038420	0.600375	0.000031	912.960988	2.3
6	24831.166937	1.558459	0.000030	3566.346756	2.4
7	25336.397090	1.549424	0.000030	5500.226977	3.0
8	25199.734758	2.549424	0.000028	900.141794	5.8
9	23071.465977	2.432013	0.000028	938.700832	2.6
10	22614.197470	2.607037	0.000028	3098.515028	2.7
11	25668.073436	2.489554	0.000028	956.097550	3.6
12	26287.618052	2.382866	0.000028	1246.668171	4.7
13	23355.453407	2.536810	0.000028	2467.055939	4.9
14	22354.885789	3.535979	0.000027	874.643651	4.2
15	23594.043580	4.530416	0.000026	946.976966	4.1
16	22109.572135	4.440724	0.000026	1655.148071	3.8
17	23097.798870	4.520516	0.000026	2676.905638	3.9
18	23909.758254	5.520471	0.000025	2144.679823	4.9
19	23356.528684	6.520456	0.000024	801.283231	4.9
20	24703.226270	6.449491	0.000024	2016.795770	3.9
21	24413.347617	7.181640	0.000024	2342.615830	3.7
22	23969.161324	7.064150	0.000024	5145.733512	3.7
23	25401.393362	8.064150	0.000023	2991.454300	6.0
24	23402.922732	9.064150	0.000022	2954.822441	5.2
25	26868.423435	10.061818	0.000021	2484.390597	5.0
26	24319.447336	11.061818	0.000021	1806.906120	4.3
27	26454.591692	12.061184	0.000020	1900.333238	2.9
28	24494.863049	13.050402	0.000020	1485.489925	5.4
29	23794.292500	14.048696	0.000019	2572.088154	5.2
30	23881.738122	15.048665	0.000018	1358.190104	5.0
31	24409.076274	16.047635	0.000018	807.979304	3.8
32	23400.638057	15.941910	0.000018	1882.988201	4.3
33	24449.808975	16.465969	0.000018	1749.459992	6.7
34	26819.220806	17.465597	0.000017	2751.109118	4.5
35	24321.629084	17.348085	0.000017	1815.989659	5.4
36	28317.179221	17.230573	0.000017	3438.623852	5.3
37	22920.889508	17.416576	0.000017	980.444342	5.4
38	24689.235428	18.416177	0.000017	1759.949353	3.0
39	25998.246368	18.298940	0.000017	3263.097936	3.5
40	22660.828660	18.181428	0.000017	1073.184332	3.3
