1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	18527.259962	0.000000	0.000087	4073.957517	238.4
1	17163.917159	0.000000	0.000087	3162.356622	1.7
2	18173.077501	0.335708	0.000086	1574.598594	1.7
3	18246.549599	1.335708	0.000082	1521.636395	1.6
4	17487.561830	1.286468	0.000082	1513.986049	1.7
5	17242.595175	2.286468	0.000079	1251.927005	1.7
6	16138.884636	2.236732	0.000079	653.493118	1.6
7	17357.465694	2.190255	0.000079	294.218605	1.7
8	17282.145716	2.167667	0.000079	1359.627746	2.0
9	16177.183011	2.171237	0.000079	2008.383386	2.2
10	16489.015329	3.171237	0.000076	1142.527580	2.1
11	19828.930035	4.171237	0.000073	1667.496047	2.6
12	17460.682911	5.165910	0.000070	1434.395197	2.0
13	16885.687722	5.116174	0.000070	1829.346058	1.8
14	18061.501968	6.116174	0.000068	2202.166718	1.8
15	18424.827064	7.116174	0.000065	599.229602	2.0
16	16508.508498	8.116173	0.000063	520.890168	2.0
17	17671.269417	8.067512	0.000063	1598.424725	2.0
18	20240.192470	8.021518	0.000063	2730.090570	2.0
19	17676.459953	9.021518	0.000061	1827.863061	2.1
20	16890.040288	10.021518	0.000059	1249.743555	2.2
21	18075.547312	11.021367	0.000057	947.790230	2.2
22	17193.587951	12.020028	0.000056	1652.898523	2.2
23	17869.151001	13.020028	0.000054	230.763676	2.2
24	16388.723534	12.970866	0.000054	1448.284030	2.3
25	16743.930045	13.368465	0.000053	840.866003	2.4
26	17177.782502	14.368465	0.000052	583.488661	2.2
27	16280.697635	14.335070	0.000052	666.197027	2.2
28	18917.023432	14.515615	0.000052	804.357927	2.1
29	16203.416094	15.489900	0.000050	666.192464	2.2
30	17524.424449	15.502500	0.000050	873.780985	2.2
31	17536.469273	16.037416	0.000050	801.592058	2.2
32	17388.832444	16.987818	0.000048	761.962063	2.2
33	16867.693961	17.986098	0.000047	1600.375972	2.2
34	17145.213194	18.986082	0.000046	613.138279	2.3
35	18465.688207	19.986076	0.000045	1491.588794	2.2
36	17439.921171	19.936340	0.000045	952.177486	3.3
37	17122.547935	20.936340	0.000044	654.219728	3.8
38	16883.217468	20.886608	0.000044	784.768409	5.8
39	15955.284286	21.754518	0.000043	801.096665	2.4
40	18046.666517	22.738546	0.000042	612.413678	2.8
41	17560.743158	22.691036	0.000042	1301.958858	3.0
42	17804.687603	22.641347	0.000042	1233.977716	3.8
43	18726.769115	23.641347	0.000041	254.791796	4.0
44	16894.813391	23.659764	0.000041	575.310505	3.9
45	18466.658258	23.630998	0.000041	1157.731329	2.1
46	17229.269232	24.625935	0.000040	1757.824918	2.2
47	18193.316039	25.625935	0.000039	1332.548720	3.6
48	18376.896746	26.625935	0.000039	729.148994	4.0
49	17325.369451	26.675875	0.000039	548.129109	2.5
50	16072.555872	26.916063	0.000038	763.705477	3.0
51	16799.895970	26.910840	0.000038	394.868371	5.5
52	17689.842939	26.865899	0.000038	594.433919	3.0
53	18852.782295	26.970736	0.000038	1155.837696	3.1
54	15150.637931	26.922464	0.000038	1410.217369	2.2
55	18220.920866	27.922452	0.000038	849.025542	4.4
56	17764.291664	27.872715	0.000038	816.185954	3.1
57	17923.056095	27.829826	0.000038	975.538353	5.0
58	16319.617505	27.780091	0.000038	1265.501814	3.8
59	19187.201736	28.779336	0.000037	593.100581	2.6
60	16761.650434	28.729807	0.000037	613.795777	5.9
61	17513.248911	28.730143	0.000037	281.325593	3.4
62	16407.503088	28.878820	0.000037	627.349519	2.4
63	17466.528668	28.938775	0.000037	1590.861945	4.4
64	16064.042182	28.983519	0.000037	1418.749924	1.9
65	17324.248064	29.983505	0.000036	1082.484954	3.0
66	16185.333916	30.983504	0.000035	303.513193	1.9
67	17768.802122	30.936556	0.000035	1332.876576	1.9
68	18295.154697	30.887964	0.000035	768.766914	4.5
69	16884.827629	31.887960	0.000035	929.017213	3.5
70	17053.663810	32.848786	0.000034	668.509058	2.9
71	17376.638951	33.620565	0.000034	1252.746135	3.1
72	17249.115911	34.618962	0.000033	536.691605	7.1
73	17181.972539	35.499150	0.000033	2262.425018	8.6
74	17321.273612	36.482358	0.000032	1993.671688	4.3
75	18284.719537	37.482358	0.000031	611.891387	3.2
76	17753.639395	38.481930	0.000031	497.549474	4.1
