X,Y,Z,Time
0.906811395409642,-0.3091751415683728,-1.5796236150416327,0
1.2835400492064628,-0.5499467699558592,-2.366263992977072,1
1.6483279049581596,-0.33864564245287593,-5.603100493151772,2
2.4443595851555093,-0.1572188130485848,-10.545999789051276,3
2.8325346285188977,-0.6955242305634656,-13.000398311337936,4
2.805134203806966,-1.2612566990492307,-17.355350803368545,5
2.8656317861879548,-1.035440003716894,-19.42196363009899,6
2.771045586888179,-0.24923788047579767,-21.18408820010059,7
4.0003524761789295,0.07878487756691377,-18.978960396502902,8
3.4646654123617,-1.8509194393895907,-16.256879272490696,9
2.8409468502675064,-0.30249497523436886,-12.64244557639213,10
2.384217803101469,-0.7165817465576552,-9.746888103899575,11
2.094729344508746,-0.12093610540055828,-5.403768379386037,12
1.1699522765673378,0.18315976374907547,-3.335530704948093,13
0.156040043033267,0.24235275868521128,-0.5420537701623269,14
0.17368837051127997,0.28881962977689385,-0.5654619541908885,15
0.04068790102573906,0.022918093392825536,-0.07764915486852182,16
