X,Y,Z,Time
2.3956529433300884,-0.027642048835954055,-4.340120553521448,0
3.1116826260033315,-0.045786478864848,-8.597004239568982,1
4.353096629084365,-0.9061777756716322,-13.430330297812496,2
4.9054539300272255,-0.25350353873308307,-23.55942484007082,3
6.34874848432942,-1.4819245255817597,-32.04125604085829,4
7.747708920750958,-2.589111183903145,-42.45386099514239,5
8.998629149923966,-3.139588365803489,-53.64880428680881,6
1.9687995568478889,-9.962795682931729,-62.65497388444388,7
0.36645345836354887,-11.804975109398544,-73.89494764720558,8
1.541430727585787,-10.039713957313216,-86.14291906657985,9
2.7600383031944196,-7.571156424611992,-97.69788346248333,10
4.752693710837938,-4.647169883236211,-106.65711421284564,11
7.024092297049017,-1.1348890480290212,-114.12224014394972,12
9.739572280260141,2.712881710839776,-118.24226675923796,13
11.781062531915005,6.003839226051128,-119.9982457017194,14
12.436584975496036,8.326431298557447,-120.63498215169749,15
12.44329284737903,8.64838133049582,-120.756624471867,16
