1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	10632.851642	0.000000	0.000248	2104.442316	280.1
1	8701.887105	0.000000	0.000248	930.441442	3.7
2	9458.100977	0.000000	0.000248	427.986697	2.0
3	8943.147206	1.000000	0.000237	256.294173	6.0
4	9133.785585	0.983359	0.000237	425.532368	2.3
5	8494.453243	1.983311	0.000227	418.118226	2.2
6	9096.212541	2.983311	0.000217	301.924426	4.5
7	9167.729044	3.099193	0.000216	222.928102	2.6
8	8998.630604	4.045714	0.000208	177.959469	2.5
9	8697.989360	4.037942	0.000208	316.416534	3.9
10	9227.544312	4.958973	0.000201	283.602413	4.3
11	9105.990929	5.217419	0.000199	363.279420	3.0
12	8919.968561	6.217336	0.000192	152.150281	3.1
13	8830.468949	6.200757	0.000192	316.050400	4.0
14	9164.820315	6.233835	0.000192	491.393915	4.1
15	8713.739758	7.233835	0.000185	145.630371	5.3
16	9820.787307	8.226595	0.000178	169.629826	5.9
17	8880.976721	8.211309	0.000179	275.469786	5.2
18	9186.021646	8.211015	0.000179	131.397232	5.2
19	8929.070046	8.194756	0.000179	146.380473	4.5
20	9138.878249	8.184209	0.000179	356.623115	4.5
21	8933.271998	8.218251	0.000179	243.762654	3.5
22	9029.983443	8.203202	0.000179	226.155999	3.5
23	9244.583478	8.557955	0.000176	249.645852	4.4
24	9224.531489	8.542281	0.000177	218.618144	2.4
25	9059.636606	8.525643	0.000177	374.545358	4.3
26	9317.948441	8.513596	0.000177	236.012281	2.7
27	9003.216948	9.456358	0.000171	318.762440	5.3
28	8948.352668	9.440210	0.000171	363.411866	4.1
29	9111.412460	9.466755	0.000171	286.602690	6.3
30	9519.538111	9.450117	0.000171	177.358271	7.4
31	9357.308677	9.433571	0.000171	329.592297	3.3
32	8918.395495	10.346018	0.000166	215.471660	5.4
33	9204.812884	10.727410	0.000164	435.685753	4.8
34	8986.033657	11.686529	0.000160	378.095525	5.4
35	9323.416888	12.686529	0.000155	508.944677	3.0
36	9054.776845	12.669887	0.000155	450.967362	3.5
37	9172.755324	13.669887	0.000150	289.595179	2.9
38	8699.186588	13.653246	0.000151	227.240961	4.4
39	9276.442582	14.142751	0.000148	384.841900	3.1
40	9124.726744	14.126136	0.000148	254.493576	3.0
41	9514.333261	14.939695	0.000145	550.112762	4.0
42	8842.833129	15.131766	0.000144	88.312442	3.0
43	8991.496434	15.189752	0.000144	257.396958	3.0
44	9412.766269	15.174396	0.000144	548.479800	4.7
45	9047.690899	16.174386	0.000140	348.332403	3.4
46	9039.296875	17.174386	0.000137	67.288336	4.9
47	8802.574571	17.169780	0.000137	295.589376	5.2
48	8923.502483	17.174816	0.000137	262.574910	5.5
49	8842.136569	17.158193	0.000137	293.017484	5.3
50	8763.858081	18.148225	0.000133	144.796307	5.6
51	9309.733813	18.131609	0.000133	324.620829	6.3
52	9190.762713	18.115626	0.000133	404.873298	4.5
53	8660.155326	19.102883	0.000130	216.190747	4.0
54	9290.122557	19.111791	0.000130	218.595248	4.1
55	9054.531326	19.100432	0.000130	462.336347	3.7
56	9246.627481	19.083797	0.000130	380.295364	5.3
57	8904.748615	19.067156	0.000130	348.624548	3.5
58	8716.710061	20.067156	0.000127	357.637552	4.2
59	9359.805862	20.077683	0.000127	236.480275	5.7
60	8993.466943	21.074807	0.000124	442.671951	3.6
61	9156.904356	22.032595	0.000121	268.175889	5.4
62	9098.092784	23.032593	0.000118	249.432185	5.5
63	9247.666269	23.334160	0.000118	294.369321	6.5
64	9320.970459	24.333034	0.000115	487.999267	5.4
65	8988.130964	24.316393	0.000115	208.387369	5.6
66	8962.435922	25.303816	0.000113	267.548042	7.1
67	9161.528757	25.287183	0.000113	207.313274	5.6
68	9313.842353	25.571390	0.000112	209.926473	5.5
69	9096.908653	25.554838	0.000112	609.642649	4.5
70	9236.210875	26.545185	0.000110	308.322215	4.8
71	9087.995955	26.528544	0.000110	556.665677	4.6
72	9226.813383	27.528544	0.000107	149.350777	5.1
73	9145.012160	27.548465	0.000107	200.716658	4.5
74	8828.887716	27.582366	0.000107	131.339796	4.1
75	9059.607046	27.567857	0.000107	342.930171	5.0
