1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	26027.204862	0.000000	0.000183	2507.373298	219.2
1	25060.746920	0.000000	0.000183	1040.928858	1.4
2	26216.138153	0.000000	0.000183	1935.164027	1.4
3	26570.462881	0.000000	0.000183	1216.895501	1.3
4	23973.924831	0.999627	0.000175	801.479544	1.3
5	23180.388768	0.885107	0.000176	390.083411	1.3
6	25466.626416	1.182167	0.000174	427.302382	1.4
7	23274.744039	1.073462	0.000175	504.766156	1.4
8	24239.693043	0.965610	0.000175	616.102332	1.4
9	23331.662483	0.923974	0.000176	1482.847585	1.4
10	24636.157756	1.857544	0.000169	1759.394813	1.4
11	22770.455679	2.857544	0.000161	321.850028	1.4
12	24163.807240	3.854186	0.000155	870.123082	1.4
13	23349.552149	3.747557	0.000156	758.805302	1.6
14	24595.445882	4.746758	0.000150	1407.735649	1.5
15	25392.956771	4.632239	0.000150	1066.387799	1.5
16	23608.745504	5.632239	0.000145	816.884917	1.6
17	23187.570434	6.632239	0.000139	620.926938	1.5
18	23252.001268	7.332761	0.000136	581.999505	1.5
19	24006.087990	8.106045	0.000132	539.453815	1.6
20	21997.779690	8.813717	0.000129	425.497619	1.8
21	23642.203240	9.720900	0.000125	531.921586	2.1
22	24065.101974	9.607172	0.000126	1603.799908	1.7
23	24705.303321	10.607118	0.000122	876.380028	1.7
24	24184.643307	11.607118	0.000118	514.138784	1.7
25	23998.618486	12.097555	0.000116	699.442868	2.0
26	24281.958884	11.983147	0.000117	844.608973	2.0
27	23826.831520	11.868630	0.000117	722.471798	2.0
28	22890.281276	12.867379	0.000114	501.986139	4.0
29	24649.327030	12.759189	0.000114	562.355269	4.4
30	24519.748416	13.739469	0.000111	1250.669636	4.1
31	25074.683692	13.624952	0.000111	783.708045	2.5
32	24423.839744	14.624952	0.000108	529.267971	2.9
33	23902.572235	15.623725	0.000105	1144.270869	2.8
34	24323.499555	16.566137	0.000103	1091.707743	2.9
35	24523.377016	16.451617	0.000103	569.956171	2.8
36	24385.692981	17.451598	0.000100	606.692140	3.0
37	24103.602350	17.343487	0.000100	558.736628	4.5
