1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	5648.860625	0.000000	0.000121	1802.703750	202.9
1	5177.043276	0.000000	0.000121	793.769041	1.5
2	5170.796600	0.000000	0.000121	452.806143	1.6
3	5393.097862	0.999979	0.000115	715.962896	1.6
4	5295.449686	1.999624	0.000110	395.257957	1.6
5	5361.055689	1.985127	0.000110	278.103130	1.6
6	5284.943113	2.787241	0.000107	394.122721	1.6
7	5174.027401	2.772867	0.000107	253.018548	1.7
8	4854.571465	2.834211	0.000106	299.117551	1.5
9	4956.821378	2.836296	0.000106	432.330222	1.5
10	5402.217249	2.976020	0.000106	487.087676	1.5
11	5195.791738	2.965248	0.000106	770.062417	1.5
12	5016.597246	3.965247	0.000101	422.535381	1.5
13	5109.564445	4.965247	0.000098	351.009655	1.5
14	5113.269932	5.954177	0.000094	369.576759	1.6
15	5385.557614	5.939725	0.000094	607.377305	1.6
16	5069.178666	6.939564	0.000091	643.683483	1.6
17	5047.717605	7.939564	0.000088	462.950689	1.5
18	5176.597050	8.939563	0.000085	397.435746	1.6
19	5224.928324	8.925111	0.000085	253.148533	1.6
20	4826.995154	8.916569	0.000085	680.348514	1.7
21	5201.360163	9.137688	0.000084	660.142358	1.7
22	5042.882620	10.137688	0.000081	617.288730	1.7
23	5295.816526	11.137688	0.000079	307.480718	1.7
24	5228.245988	11.901423	0.000077	240.532928	1.8
25	5078.821413	11.887621	0.000077	155.881512	1.7
26	5140.837818	11.875486	0.000077	288.317968	2.0
27	5080.884161	11.927116	0.000077	436.001735	1.8
28	4868.474291	12.467778	0.000076	411.599183	2.1
29	4786.755656	12.456292	0.000076	405.759549	4.5
30	4967.522591	12.709525	0.000075	814.164330	4.6
31	5030.509739	12.695028	0.000075	759.171951	2.5
32	4928.867437	13.695028	0.000073	234.392029	4.7
33	5119.626048	14.098662	0.000072	194.677977	2.8
34	5401.318211	14.113451	0.000072	536.841975	2.7
35	4911.071604	14.559764	0.000071	269.714216	2.7
36	5175.952210	14.545277	0.000071	377.571873	2.8
37	5643.424463	14.778159	0.000071	821.561230	2.7
38	4836.962796	14.763664	0.000071	406.393596	2.7
39	5060.432208	15.763297	0.000069	339.108175	2.7
40	5035.279137	15.945022	0.000069	413.041451	2.5
41	5303.042863	16.888353	0.000067	299.243590	4.8
42	5276.138618	17.571628	0.000066	181.232023	4.6
43	5304.004652	17.634163	0.000066	243.108816	2.7
44	5438.731179	17.621968	0.000066	178.239021	2.7
